id,case_number,date,block,iucr,crime_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,city,data_source,fetch_date
14072322,JK101709,2026-01-02 00:00:00,042XX S ASHLAND AVE,0460,BATTERY,SIMPLE,BANK,False,False,0924,009,12,61,08B,1166380,1876821,2026,2026-01-09T15:43:07.000,41.817570192,-87.665183168,"{'latitude': '41.817570192', 'longitude': '-87.665183168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071901,JK101284,2026-01-02 00:00:00,0000X W 79TH ST,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,0623,006,6,44,08B,1177483,1852629,2026,2026-01-09T15:43:07.000,41.750940757,-87.625185222,"{'latitude': '41.750940757', 'longitude': '-87.625185222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071787,JK101192,2026-01-02 00:05:00,006XX S KEDVALE AVE,0560,ASSAULT,SIMPLE,APARTMENT,True,True,1132,011,24,26,08A,1148818,1896922,2026,2026-01-10T15:41:58.000,41.873086607,-87.72908753,"{'latitude': '41.873086607', 'longitude': '-87.72908753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071759,JK101190,2026-01-02 00:18:00,056XX W HENDERSON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1633,016,30,15,08B,1138104,1921707,2026,2026-01-10T15:41:58.000,41.941299827,-87.767824384,"{'latitude': '41.941299827', 'longitude': '-87.767824384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14072132,JK101571,2026-01-02 00:30:00,010XX S DESPLAINES ST,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False,0124,001,28,28,03,1172075,1895787,2026,2026-01-10T15:41:58.000,41.869491081,-87.643733672,"{'latitude': '41.869491081', 'longitude': '-87.643733672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071782,JK101191,2026-01-02 00:40:00,070XX S CALUMET AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0322,003,6,69,08B,1179695,1858452,2026,2026-01-10T15:41:58.000,41.766869459,-87.616901724,"{'latitude': '41.766869459', 'longitude': '-87.616901724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071826,JK101210,2026-01-02 01:02:00,021XX E 99TH ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,True,True,0431,004,7,51,04B,1192063,1839750,2026,2026-01-10T15:41:58.000,41.715257857,-87.572175111,"{'latitude': '41.715257857', 'longitude': '-87.572175111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071854,JK101211,2026-01-02 01:03:00,081XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,STREET,False,True,0631,006,6,44,08B,1182970,1851301,2026,2026-01-10T15:41:58.000,41.747170897,-87.605119541,"{'latitude': '41.747170897', 'longitude': '-87.605119541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071821,JK101213,2026-01-02 01:05:00,073XX N RIDGE BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2424,024,49,1,08B,1160716,1948656,2026,2026-01-10T15:41:58.000,42.014809612,-87.68396521,"{'latitude': '42.014809612', 'longitude': '-87.68396521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071793,JK101219,2026-01-02 01:08:00,081XX S SAGINAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0422,004,7,46,08B,1195257,1851468,2026,2026-01-10T15:41:58.000,41.747334988,-87.560091897,"{'latitude': '41.747334988', 'longitude': '-87.560091897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071814,JK101207,2026-01-02 01:08:00,003XX S WASHTENAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1125,011,28,27,08B,1158436,1898241,2026,2026-01-10T15:41:58.000,41.876514847,-87.693739012,"{'latitude': '41.876514847', 'longitude': '-87.693739012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071837,JK101221,2026-01-02 01:19:00,093XX S SAGINAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0423,004,7,48,08B,1195506,1843586,2026,2026-01-10T15:41:58.000,41.725699976,-87.559439217,"{'latitude': '41.725699976', 'longitude': '-87.559439217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14071849,JK101222,2026-01-02 01:30:00,021XX W 72ND PL,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,True,0735,007,17,67,04A,1163479,1856564,2026,2026-01-10T15:41:58.000,41.762043795,-87.676392708,"{'latitude': '41.762043795', 'longitude': '-87.676392708', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14072538,JK101232,2026-01-02 01:50:00,0000X W IDA B WELLS DR,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,False,False,0113,001,34,32,03,1175947,1898054,2026,2026-01-10T15:41:58.000,41.875625633,-87.629450396,"{'latitude': '41.875625633', 'longitude': '-87.629450396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
